iter	Passed	Remaining
630	1130	661
631	1132	659
632	1134	657
633	1136	656
634	1139	655
635	1141	653
636	1143	651
637	1144	649
638	1146	647
639	1148	646
640	1150	644
641	1152	642
642	1154	641
643	1156	639
644	1158	637
645	1159	635
646	1161	633
647	1162	631
648	1164	629
649	1165	627
650	1168	626
651	1170	624
652	1172	622
653	1173	620
654	1175	619
655	1176	617
656	1178	615
657	1179	613
658	1181	611
659	1184	609
660	1186	608
661	1188	606
662	1190	604
663	1191	603
664	1193	601
665	1194	599
666	1196	597
667	1198	595
668	1200	593
669	1202	592
670	1203	590
671	1205	588
672	1206	586
673	1208	584
674	1209	582
675	1211	580
676	1213	578
677	1216	577
678	1218	575
679	1219	573
680	1221	572
681	1222	570
682	1224	568
683	1225	566
684	1227	564
685	1229	562
686	1232	561
687	1234	559
688	1236	558
689	1238	556
690	1239	554
691	1241	552
692	1242	550
693	1245	549
694	1247	547
695	1249	545
696	1250	543
697	1252	541
698	1253	539
699	1255	538
700	1257	536
701	1258	534
702	1260	532
703	1262	530
704	1264	529
705	1265	527
706	1267	525
707	1269	523
708	1270	521
709	1272	519
710	1273	517
711	1275	516
712	1277	514
713	1279	512
714	1280	510
715	1282	508
716	1284	507
717	1286	505
718	1289	503
719	1291	502
720	1293	500
721	1295	498
722	1297	496
723	1298	495
724	1300	493
725	1302	491
726	1303	489
727	1305	487
728	1308	486
729	1309	484
730	1311	482
731	1312	480
732	1314	478
733	1315	476
734	1317	475
735	1319	473
736	1320	471
737	1323	469
738	1325	468
739	1326	466
740	1328	464
741	1329	462
742	1331	460
743	1333	458
744	1334	456
745	1336	454
746	1338	453
747	1340	451
748	1342	449
749	1343	447
750	1344	445
751	1346	444
752	1348	442
753	1349	440
754	1351	438
755	1353	436
756	1355	435
757	1357	433
758	1359	431
759	1360	429
760	1362	427
761	1363	426
762	1365	424
763	1367	422
764	1369	420
765	1371	418
766	1373	417
767	1374	415
768	1376	413
769	1377	411
770	1379	409
771	1381	407
772	1382	406
773	1384	404
774	1386	402
775	1388	400
776	1390	399
777	1392	397
778	1394	395
779	1395	393
780	1397	391
781	1400	390
782	1402	388
783	1404	386
784	1405	385
785	1407	383
786	1409	381
787	1411	379
788	1413	377
789	1415	376
790	1417	374
791	1419	372
792	1420	370
793	1422	369
794	1424	367
795	1426	365
796	1429	364
797	1431	362
798	1433	360
799	1435	358
800	1436	356
801	1438	355
802	1439	353
803	1441	351
804	1442	349
805	1445	347
806	1447	346
807	1448	344
808	1450	342
809	1452	340
810	1453	338
811	1455	337
812	1457	335
813	1459	333
814	1462	331
815	1464	330
816	1465	328
817	1467	326
818	1469	324
819	1471	322
820	1472	321
821	1474	319
822	1476	317
823	1478	315
824	1479	313
825	1481	312
826	1483	310
827	1485	308
828	1486	306
829	1488	304
830	1489	303
831	1492	301
832	1494	299
833	1495	297
834	1497	295
835	1499	294
836	1500	292
837	1502	290
838	1504	288
839	1505	286
840	1507	285
841	1510	283
842	1511	281
843	1513	279
844	1515	277
845	1517	276
846	1518	274
847	1520	272
848	1522	270
849	1524	269
850	1526	267
851	1527	265
852	1529	263
853	1531	261
854	1532	259
855	1534	258
856	1535	256
857	1537	254
858	1539	252
859	1541	250
860	1543	249
861	1544	247
862	1546	245
863	1547	243
864	1549	241
865	1551	240
866	1552	238
867	1555	236
868	1556	234
869	1558	232
870	1559	231
871	1561	229
872	1563	227
873	1565	225
874	1567	223
875	1569	222
876	1571	220
877	1573	218
878	1575	216
879	1577	215
880	1578	213
881	1580	211
882	1581	209
883	1583	207
884	1585	206
885	1587	204
886	1588	202
887	1590	200
888	1591	198
889	1593	196
890	1595	195
891	1596	193
892	1598	191
893	1599	189
894	1601	187
895	1604	186
896	1605	184
897	1607	182
898	1609	180
899	1610	178
900	1612	177
901	1613	175
902	1615	173
903	1617	171
904	1619	169
905	1620	168
906	1622	166
907	1623	164
908	1625	162
909	1627	160
910	1628	159
911	1630	157
912	1631	155
913	1633	153
914	1635	151
915	1636	150
916	1638	148
917	1639	146
918	1641	144
919	1643	142
920	1644	141
921	1646	139
922	1648	137
923	1650	135
924	1651	133
925	1653	132
926	1654	130
927	1656	128
928	1657	126
929	1659	124
930	1660	123
931	1662	121
932	1664	119
933	1666	117
934	1667	115
935	1669	114
936	1670	112
937	1672	110
938	1673	108
939	1675	106
940	1676	105
941	1679	103
942	1681	101
943	1682	99
944	1684	98
945	1685	96
946	1687	94
947	1688	92
948	1690	90
949	1691	89
950	1693	87
951	1696	85
952	1697	83
953	1699	81
954	1701	80
955	1702	78
956	1704	76
957	1705	74
958	1708	73
959	1710	71
960	1711	69
961	1713	67
962	1715	65
963	1716	64
964	1718	62
965	1720	60
966	1721	58
967	1723	56
968	1725	55
969	1727	53
970	1728	51
971	1730	49
972	1731	48
973	1733	46
974	1735	44
975	1736	42
976	1738	40
977	1742	39
978	1744	37
979	1745	35
980	1747	33
981	1749	32
982	1751	30
983	1753	28
984	1755	26
985	1757	24
986	1759	23
987	1761	21
988	1762	19
989	1764	17
990	1766	16
991	1768	14
992	1770	12
993	1772	10
994	1774	8
995	1776	7
996	1777	5
997	1779	3
998	1781	1
999	1783	0
